Country,Place of birth,Gender,Rate,Year,Unit,Value
Australia,Foreign-born,Men,Participation rate,2009,Percentage,82.0
Australia,Foreign-born,Men,Participation rate,2010,Percentage,82.2
Australia,Foreign-born,Men,Participation rate,2011,Percentage,83.1
Australia,Foreign-born,Men,Participation rate,2012,Percentage,82.7
Australia,Foreign-born,Men,Participation rate,2013,Percentage,82.6
Australia,Foreign-born,Men,Participation rate,2014,Percentage,82.4
Australia,Foreign-born,Men,Participation rate,2015,Percentage,83.6
Australia,Foreign-born,Men,Participation rate,2016,Percentage,83.2
Australia,Foreign-born,Men,Participation rate,2017,Percentage,83.6
Australia,Foreign-born,Men,Participation rate,2018,Percentage,83.8
Australia,Foreign-born,Men,Participation rate,2019,Percentage,83.7
Australia,Foreign-born,Men,Participation rate,2020,Percentage,83.9
Australia,Foreign-born,Men,Participation rate,2021,Percentage,85.2
Australia,Foreign-born,Women,Employment rate,2000,Percentage,54.7
Australia,Foreign-born,Women,Employment rate,2001,Percentage,54.0
Australia,Foreign-born,Women,Employment rate,2002,Percentage,55.0
Australia,Foreign-born,Women,Employment rate,2003,Percentage,55.8
Australia,Foreign-born,Women,Employment rate,2004,Percentage,56.7
Australia,Foreign-born,Women,Employment rate,2005,Percentage,58.4
Australia,Foreign-born,Women,Employment rate,2006,Percentage,58.7
Australia,Foreign-born,Women,Employment rate,2007,Percentage,59.6
Australia,Foreign-born,Women,Employment rate,2008,Percentage,61.2
Australia,Foreign-born,Women,Employment rate,2009,Percentage,60.1
Australia,Foreign-born,Women,Employment rate,2010,Percentage,60.7
Australia,Foreign-born,Women,Employment rate,2011,Percentage,61.9
Australia,Foreign-born,Women,Employment rate,2012,Percentage,61.5
Australia,Foreign-born,Women,Employment rate,2013,Percentage,62.0
Australia,Foreign-born,Women,Employment rate,2014,Percentage,61.7
Australia,Foreign-born,Women,Employment rate,2015,Percentage,61.4
Australia,Foreign-born,Women,Employment rate,2016,Percentage,62.0
Australia,Foreign-born,Women,Employment rate,2017,Percentage,62.7
Australia,Foreign-born,Women,Employment rate,2018,Percentage,64.3
Australia,Foreign-born,Women,Employment rate,2019,Percentage,65.3
Australia,Foreign-born,Women,Employment rate,2020,Percentage,64.0
Australia,Foreign-born,Women,Employment rate,2021,Percentage,67.8
Australia,Foreign-born,Women,Unemployment rate,2000,Percentage,6.9
Australia,Foreign-born,Women,Unemployment rate,2001,Percentage,7.5
Australia,Foreign-born,Women,Unemployment rate,2002,Percentage,6.9
Australia,Foreign-born,Women,Unemployment rate,2003,Percentage,6.3
Australia,Foreign-born,Women,Unemployment rate,2004,Percentage,5.9
Australia,Foreign-born,Women,Unemployment rate,2005,Percentage,5.5
Australia,Foreign-born,Women,Unemployment rate,2006,Percentage,5.4
Australia,Foreign-born,Women,Unemployment rate,2007,Percentage,5.5
Australia,Foreign-born,Women,Unemployment rate,2008,Percentage,5.2
Australia,Foreign-born,Women,Unemployment rate,2009,Percentage,6.8
Australia,Foreign-born,Women,Unemployment rate,2010,Percentage,6.1
Australia,Foreign-born,Women,Unemployment rate,2011,Percentage,6.0
Australia,Foreign-born,Women,Unemployment rate,2012,Percentage,6.0
Australia,Foreign-born,Women,Unemployment rate,2013,Percentage,6.1
Australia,Foreign-born,Women,Unemployment rate,2014,Percentage,6.6
Australia,Foreign-born,Women,Unemployment rate,2015,Percentage,6.8
Australia,Foreign-born,Women,Unemployment rate,2016,Percentage,6.7
Australia,Foreign-born,Women,Unemployment rate,2017,Percentage,6.9
Australia,Foreign-born,Women,Unemployment rate,2018,Percentage,6.5
Australia,Foreign-born,Women,Unemployment rate,2019,Percentage,6.2
Australia,Foreign-born,Women,Unemployment rate,2020,Percentage,7.7
Australia,Foreign-born,Women,Unemployment rate,2021,Percentage,5.8
Australia,Foreign-born,Women,Participation rate,2000,Percentage,58.7
Australia,Foreign-born,Women,Participation rate,2001,Percentage,58.4
Australia,Foreign-born,Women,Participation rate,2002,Percentage,59.1
Australia,Foreign-born,Women,Participation rate,2003,Percentage,59.6
Australia,Foreign-born,Women,Participation rate,2004,Percentage,60.2
Australia,Foreign-born,Women,Participation rate,2005,Percentage,61.8
Australia,Foreign-born,Women,Participation rate,2006,Percentage,62.0
Australia,Foreign-born,Women,Participation rate,2007,Percentage,63.1
Australia,Foreign-born,Women,Participation rate,2008,Percentage,64.6
Australia,Foreign-born,Women,Participation rate,2009,Percentage,64.5
Australia,Foreign-born,Women,Participation rate,2010,Percentage,64.7
Australia,Foreign-born,Women,Participation rate,2011,Percentage,65.9
Australia,Foreign-born,Women,Participation rate,2012,Percentage,65.5
Australia,Foreign-born,Women,Participation rate,2013,Percentage,66.0
Australia,Foreign-born,Women,Participation rate,2014,Percentage,66.1
Australia,Foreign-born,Women,Participation rate,2015,Percentage,65.9
Australia,Foreign-born,Women,Participation rate,2016,Percentage,66.5
Australia,Foreign-born,Women,Participation rate,2017,Percentage,67.3
Australia,Foreign-born,Women,Participation rate,2018,Percentage,68.8
Australia,Foreign-born,Women,Participation rate,2019,Percentage,69.7
Australia,Foreign-born,Women,Participation rate,2020,Percentage,69.3
Australia,Foreign-born,Women,Participation rate,2021,Percentage,72.0
Australia,Foreign-born,Total,Employment rate,2000,Percentage,64.4
Australia,Foreign-born,Total,Employment rate,2001,Percentage,64.0
Australia,Foreign-born,Total,Employment rate,2002,Percentage,64.5
Australia,Foreign-born,Total,Employment rate,2003,Percentage,64.9
Australia,Foreign-born,Total,Employment rate,2004,Percentage,66.0
Australia,Foreign-born,Total,Employment rate,2005,Percentage,67.4
Australia,Foreign-born,Total,Employment rate,2006,Percentage,67.9
Australia,Foreign-born,Total,Employment rate,2007,Percentage,68.6
Australia,Foreign-born,Total,Employment rate,2008,Percentage,69.8
Australia,Foreign-born,Total,Employment rate,2009,Percentage,68.3
Australia,Foreign-born,Total,Employment rate,2010,Percentage,69.2
Australia,Foreign-born,Total,Employment rate,2011,Percentage,70.5
Australia,Foreign-born,Total,Employment rate,2012,Percentage,70.0
Australia,Foreign-born,Total,Employment rate,2013,Percentage,69.7
Australia,Foreign-born,Total,Employment rate,2014,Percentage,69.6
Australia,Foreign-born,Total,Employment rate,2015,Percentage,69.9
Australia,Foreign-born,Total,Employment rate,2016,Percentage,70.3
Australia,Foreign-born,Total,Employment rate,2017,Percentage,70.8
Australia,Foreign-born,Total,Employment rate,2018,Percentage,72.0
Australia,Foreign-born,Total,Employment rate,2019,Percentage,72.3
Australia,Foreign-born,Total,Employment rate,2020,Percentage,71.0
Australia,Foreign-born,Total,Employment rate,2021,Percentage,74.2
Australia,Foreign-born,Total,Unemployment rate,2000,Percentage,6.7
Australia,Foreign-born,Total,Unemployment rate,2001,Percentage,7.3
Australia,Foreign-born,Total,Unemployment rate,2002,Percentage,6.8
Australia,Foreign-born,Total,Unemployment rate,2003,Percentage,6.4
Australia,Foreign-born,Total,Unemployment rate,2004,Percentage,5.5
Australia,Foreign-born,Total,Unemployment rate,2005,Percentage,5.3
Australia,Foreign-born,Total,Unemployment rate,2006,Percentage,5.1
Australia,Foreign-born,Total,Unemployment rate,2007,Percentage,4.9
Australia,Foreign-born,Total,Unemployment rate,2008,Percentage,4.6
Australia,Foreign-born,Total,Unemployment rate,2009,Percentage,6.7
Australia,Foreign-born,Total,Unemployment rate,2010,Percentage,5.5
Australia,Foreign-born,Total,Unemployment rate,2011,Percentage,5.2
Australia,Foreign-born,Total,Unemployment rate,2012,Percentage,5.4
Australia,Foreign-born,Total,Unemployment rate,2013,Percentage,5.9
Australia,Foreign-born,Total,Unemployment rate,2014,Percentage,6.1
Australia,Foreign-born,Total,Unemployment rate,2015,Percentage,6.2
Australia,Foreign-born,Total,Unemployment rate,2016,Percentage,6.0
Australia,Foreign-born,Total,Unemployment rate,2017,Percentage,5.9
Australia,Foreign-born,Total,Unemployment rate,2018,Percentage,5.5
Australia,Foreign-born,Total,Unemployment rate,2019,Percentage,5.5
Australia,Foreign-born,Total,Unemployment rate,2020,Percentage,7.1
Australia,Foreign-born,Total,Unemployment rate,2021,Percentage,5.3
Australia,Foreign-born,Total,Participation rate,2000,Percentage,69.0
Australia,Foreign-born,Total,Participation rate,2001,Percentage,69.0
Australia,Foreign-born,Total,Participation rate,2002,Percentage,69.2
Australia,Foreign-born,Total,Participation rate,2003,Percentage,69.3
Australia,Foreign-born,Total,Participation rate,2004,Percentage,69.9
Australia,Foreign-born,Total,Participation rate,2005,Percentage,71.2
Australia,Foreign-born,Total,Participation rate,2006,Percentage,71.5
Australia,Foreign-born,Total,Participation rate,2007,Percentage,72.1
Australia,Foreign-born,Total,Participation rate,2008,Percentage,73.2
Australia,Foreign-born,Total,Participation rate,2009,Percentage,73.2
Australia,Foreign-born,Total,Participation rate,2010,Percentage,73.3
Australia,Foreign-born,Total,Participation rate,2011,Percentage,74.4
Australia,Foreign-born,Total,Participation rate,2012,Percentage,74.0
Australia,Foreign-born,Total,Participation rate,2013,Percentage,74.1
Australia,Foreign-born,Total,Participation rate,2014,Percentage,74.1
Australia,Foreign-born,Total,Participation rate,2015,Percentage,74.6
Australia,Foreign-born,Total,Participation rate,2016,Percentage,74.7
Australia,Foreign-born,Total,Participation rate,2017,Percentage,75.2
Australia,Foreign-born,Total,Participation rate,2018,Percentage,76.2
Australia,Foreign-born,Total,Participation rate,2019,Percentage,76.5
Australia,Foreign-born,Total,Participation rate,2020,Percentage,76.4
Australia,Foreign-born,Total,Participation rate,2021,Percentage,78.4
Austria,Foreign-born,Men,Employment rate,2000,Percentage,76.1
Austria,Foreign-born,Men,Employment rate,2001,Percentage,76.6
Austria,Foreign-born,Men,Employment rate,2002,Percentage,73.4
Austria,Foreign-born,Men,Employment rate,2003,Percentage,75.6
Austria,Foreign-born,Men,Employment rate,2004,Percentage,70.2
Austria,Foreign-born,Men,Employment rate,2005,Percentage,71.1
Austria,Foreign-born,Men,Employment rate,2006,Percentage,72.5
Austria,Foreign-born,Men,Employment rate,2007,Percentage,75.0
Austria,Foreign-born,Men,Employment rate,2008,Percentage,74.9
Austria,Foreign-born,Men,Employment rate,2009,Percentage,72.5
Austria,Foreign-born,Men,Employment rate,2010,Percentage,73.5
Austria,Foreign-born,Men,Employment rate,2011,Percentage,75.0
Austria,Foreign-born,Men,Employment rate,2012,Percentage,73.5
Austria,Foreign-born,Men,Employment rate,2013,Percentage,72.7
Austria,Foreign-born,Men,Employment rate,2014,Percentage,71.1
Austria,Foreign-born,Men,Employment rate,2015,Percentage,71.7
Austria,Foreign-born,Men,Employment rate,2016,Percentage,70.8
Austria,Foreign-born,Men,Employment rate,2017,Percentage,72.3
Austria,Foreign-born,Men,Employment rate,2018,Percentage,75.3
Austria,Foreign-born,Men,Employment rate,2019,Percentage,75.2
Austria,Foreign-born,Men,Employment rate,2020,Percentage,72.6
Austria,Foreign-born,Men,Employment rate,2021,Percentage,74.9
Austria,Foreign-born,Men,Unemployment rate,2000,Percentage,8.7
Austria,Foreign-born,Men,Unemployment rate,2001,Percentage,7.6
Austria,Foreign-born,Men,Unemployment rate,2002,Percentage,10.0
Austria,Foreign-born,Men,Unemployment rate,2003,Percentage,9.5
Austria,Foreign-born,Men,Unemployment rate,2004,Percentage,11.2
Austria,Foreign-born,Men,Unemployment rate,2005,Percentage,10.8
Austria,Foreign-born,Men,Unemployment rate,2006,Percentage,9.7
Austria,Foreign-born,Men,Unemployment rate,2007,Percentage,8.4
Austria,Foreign-born,Men,Unemployment rate,2008,Percentage,7.3
Austria,Foreign-born,Men,Unemployment rate,2009,Percentage,10.7
Austria,Foreign-born,Men,Unemployment rate,2010,Percentage,8.8
Austria,Foreign-born,Men,Unemployment rate,2011,Percentage,8.0
Austria,Foreign-born,Men,Unemployment rate,2012,Percentage,9.6
Austria,Foreign-born,Men,Unemployment rate,2013,Percentage,10.4
Austria,Foreign-born,Men,Unemployment rate,2014,Percentage,10.8
Austria,Foreign-born,Men,Unemployment rate,2015,Percentage,11.1
Austria,Foreign-born,Men,Unemployment rate,2016,Percentage,12.4
Austria,Foreign-born,Men,Unemployment rate,2017,Percentage,10.9
Austria,Foreign-born,Men,Unemployment rate,2018,Percentage,9.6
Austria,Foreign-born,Men,Unemployment rate,2019,Percentage,8.2
Austria,Foreign-born,Men,Unemployment rate,2020,Percentage,11.2
Austria,Foreign-born,Men,Unemployment rate,2021,Percentage,11.0
Austria,Foreign-born,Men,Participation rate,2000,Percentage,83.3
Austria,Foreign-born,Men,Participation rate,2001,Percentage,82.9
Austria,Foreign-born,Men,Participation rate,2002,Percentage,81.6
Austria,Foreign-born,Men,Participation rate,2003,Percentage,83.5
Austria,Foreign-born,Men,Participation rate,2004,Percentage,79.1
Austria,Foreign-born,Men,Participation rate,2005,Percentage,79.7
Austria,Foreign-born,Men,Participation rate,2006,Percentage,80.3
Austria,Foreign-born,Men,Participation rate,2007,Percentage,81.9
Austria,Foreign-born,Men,Participation rate,2008,Percentage,80.8
Austria,Foreign-born,Men,Participation rate,2009,Percentage,81.2
Austria,Foreign-born,Men,Participation rate,2010,Percentage,80.6
Austria,Foreign-born,Men,Participation rate,2011,Percentage,81.5
Austria,Foreign-born,Men,Participation rate,2012,Percentage,81.3
Austria,Foreign-born,Men,Participation rate,2013,Percentage,81.2
Austria,Foreign-born,Men,Participation rate,2014,Percentage,79.7
Austria,Foreign-born,Men,Participation rate,2015,Percentage,80.7
Austria,Foreign-born,Men,Participation rate,2016,Percentage,80.8
Austria,Foreign-born,Men,Participation rate,2017,Percentage,81.1
Austria,Foreign-born,Men,Participation rate,2018,Percentage,83.3
Austria,Foreign-born,Men,Participation rate,2019,Percentage,82.0
Austria,Foreign-born,Men,Participation rate,2020,Percentage,81.5
Austria,Foreign-born,Men,Participation rate,2021,Percentage,84.2
Austria,Foreign-born,Women,Employment rate,2000,Percentage,58.3
Austria,Foreign-born,Women,Employment rate,2001,Percentage,56.7
Austria,Foreign-born,Women,Employment rate,2002,Percentage,59.1
Austria,Foreign-born,Women,Employment rate,2003,Percentage,60.4
Austria,Foreign-born,Women,Employment rate,2004,Percentage,53.7
Austria,Foreign-born,Women,Employment rate,2005,Percentage,54.2
Austria,Foreign-born,Women,Employment rate,2006,Percentage,55.1
Austria,Foreign-born,Women,Employment rate,2007,Percentage,56.1
Austria,Foreign-born,Women,Employment rate,2008,Percentage,56.6
Austria,Foreign-born,Women,Employment rate,2009,Percentage,57.5
Austria,Foreign-born,Women,Employment rate,2010,Percentage,59.8
Austria,Foreign-born,Women,Employment rate,2011,Percentage,59.2
Austria,Foreign-born,Women,Employment rate,2012,Percentage,58.6
Austria,Foreign-born,Women,Employment rate,2013,Percentage,58.5
Austria,Foreign-born,Women,Employment rate,2014,Percentage,59.3
Austria,Foreign-born,Women,Employment rate,2015,Percentage,58.2
Austria,Foreign-born,Women,Employment rate,2016,Percentage,58.9
Austria,Foreign-born,Women,Employment rate,2017,Percentage,59.3
Austria,Foreign-born,Women,Employment rate,2018,Percentage,61.2
Austria,Foreign-born,Women,Employment rate,2019,Percentage,62.9
Austria,Foreign-born,Women,Employment rate,2020,Percentage,59.9
Austria,Foreign-born,Women,Employment rate,2021,Percentage,60.6
Austria,Foreign-born,Women,Unemployment rate,2000,Percentage,7.2
Austria,Foreign-born,Women,Unemployment rate,2001,Percentage,7.3
Austria,Foreign-born,Women,Unemployment rate,2002,Percentage,7.1
Austria,Foreign-born,Women,Unemployment rate,2003,Percentage,6.7
Austria,Foreign-born,Women,Unemployment rate,2004,Percentage,10.7
Austria,Foreign-born,Women,Unemployment rate,2005,Percentage,10.5
Austria,Foreign-born,Women,Unemployment rate,2006,Percentage,9.8
Austria,Foreign-born,Women,Unemployment rate,2007,Percentage,9.7
Austria,Foreign-born,Women,Unemployment rate,2008,Percentage,7.8
Austria,Foreign-born,Women,Unemployment rate,2009,Percentage,8.2
Austria,Foreign-born,Women,Unemployment rate,2010,Percentage,7.6
Austria,Foreign-born,Women,Unemployment rate,2011,Percentage,8.3
Austria,Foreign-born,Women,Unemployment rate,2012,Percentage,8.2
Austria,Foreign-born,Women,Unemployment rate,2013,Percentage,9.3
Austria,Foreign-born,Women,Unemployment rate,2014,Percentage,9.5
Austria,Foreign-born,Women,Unemployment rate,2015,Percentage,10.2
Austria,Foreign-born,Women,Unemployment rate,2016,Percentage,10.4
Austria,Foreign-born,Women,Unemployment rate,2017,Percentage,10.5
Austria,Foreign-born,Women,Unemployment rate,2018,Percentage,9.2
Austria,Foreign-born,Women,Unemployment rate,2019,Percentage,8.4
Austria,Foreign-born,Women,Unemployment rate,2020,Percentage,12.3
Austria,Foreign-born,Women,Unemployment rate,2021,Percentage,11.6
Austria,Foreign-born,Women,Participation rate,2000,Percentage,62.8
Austria,Foreign-born,Women,Participation rate,2001,Percentage,61.1
Austria,Foreign-born,Women,Participation rate,2002,Percentage,63.6
Austria,Foreign-born,Women,Participation rate,2003,Percentage,64.8
Austria,Foreign-born,Women,Participation rate,2004,Percentage,60.1
Austria,Foreign-born,Women,Participation rate,2005,Percentage,60.6
Austria,Foreign-born,Women,Participation rate,2006,Percentage,61.0
Austria,Foreign-born,Women,Participation rate,2007,Percentage,62.1
Austria,Foreign-born,Women,Participation rate,2008,Percentage,61.4
Austria,Foreign-born,Women,Participation rate,2009,Percentage,62.6
Austria,Foreign-born,Women,Participation rate,2010,Percentage,64.7
Austria,Foreign-born,Women,Participation rate,2011,Percentage,64.6
Austria,Foreign-born,Women,Participation rate,2012,Percentage,63.8
Austria,Foreign-born,Women,Participation rate,2013,Percentage,64.5
Austria,Foreign-born,Women,Participation rate,2014,Percentage,65.5
Austria,Foreign-born,Women,Participation rate,2015,Percentage,64.8
Austria,Foreign-born,Women,Participation rate,2016,Percentage,65.7
Austria,Foreign-born,Women,Participation rate,2017,Percentage,66.2
Austria,Foreign-born,Women,Participation rate,2018,Percentage,67.4
Austria,Foreign-born,Women,Participation rate,2019,Percentage,68.7
Austria,Foreign-born,Women,Participation rate,2020,Percentage,67.7
Austria,Foreign-born,Women,Participation rate,2021,Percentage,68.5
Austria,Foreign-born,Total,Employment rate,2000,Percentage,66.8
Austria,Foreign-born,Total,Employment rate,2001,Percentage,66.6
Austria,Foreign-born,Total,Employment rate,2002,Percentage,65.9
Austria,Foreign-born,Total,Employment rate,2003,Percentage,67.7
Austria,Foreign-born,Total,Employment rate,2004,Percentage,61.6
Austria,Foreign-born,Total,Employment rate,2005,Percentage,62.2
Austria,Foreign-born,Total,Employment rate,2006,Percentage,63.4
Austria,Foreign-born,Total,Employment rate,2007,Percentage,65.0
Austria,Foreign-born,Total,Employment rate,2008,Percentage,65.1
Austria,Foreign-born,Total,Employment rate,2009,Percentage,64.7
Austria,Foreign-born,Total,Employment rate,2010,Percentage,66.3
Austria,Foreign-born,Total,Employment rate,2011,Percentage,66.7
Austria,Foreign-born,Total,Employment rate,2012,Percentage,65.6
Austria,Foreign-born,Total,Employment rate,2013,Percentage,65.2
Austria,Foreign-born,Total,Employment rate,2014,Percentage,64.9
Austria,Foreign-born,Total,Employment rate,2015,Percentage,64.7
Austria,Foreign-born,Total,Employment rate,2016,Percentage,64.6
Austria,Foreign-born,Total,Employment rate,2017,Percentage,65.6
Austria,Foreign-born,Total,Employment rate,2018,Percentage,68.0
Austria,Foreign-born,Total,Employment rate,2019,Percentage,68.9
Austria,Foreign-born,Total,Employment rate,2020,Percentage,66.1
Austria,Foreign-born,Total,Employment rate,2021,Percentage,67.6
Austria,Foreign-born,Total,Unemployment rate,2000,Percentage,8.0
Austria,Foreign-born,Total,Unemployment rate,2001,Percentage,7.5
Austria,Foreign-born,Total,Unemployment rate,2002,Percentage,8.7
Austria,Foreign-born,Total,Unemployment rate,2003,Percentage,8.3
Austria,Foreign-born,Total,Unemployment rate,2004,Percentage,11.0
Austria,Foreign-born,Total,Unemployment rate,2005,Percentage,10.6
Austria,Foreign-born,Total,Unemployment rate,2006,Percentage,9.8
Austria,Foreign-born,Total,Unemployment rate,2007,Percentage,9.0
Austria,Foreign-born,Total,Unemployment rate,2008,Percentage,7.5
Austria,Foreign-born,Total,Unemployment rate,2009,Percentage,9.5
Austria,Foreign-born,Total,Unemployment rate,2010,Percentage,8.2
Austria,Foreign-born,Total,Unemployment rate,2011,Percentage,8.2
Austria,Foreign-born,Total,Unemployment rate,2012,Percentage,8.9
Austria,Foreign-born,Total,Unemployment rate,2013,Percentage,9.9
Austria,Foreign-born,Total,Unemployment rate,2014,Percentage,10.1
Austria,Foreign-born,Total,Unemployment rate,2015,Percentage,10.7
Austria,Foreign-born,Total,Unemployment rate,2016,Percentage,11.4
Austria,Foreign-born,Total,Unemployment rate,2017,Percentage,10.7
Austria,Foreign-born,Total,Unemployment rate,2018,Percentage,9.4
Austria,Foreign-born,Total,Unemployment rate,2019,Percentage,8.3
Austria,Foreign-born,Total,Unemployment rate,2020,Percentage,11.6
Austria,Foreign-born,Total,Unemployment rate,2021,Percentage,11.3
Austria,Foreign-born,Total,Participation rate,2000,Percentage,72.7
Austria,Foreign-born,Total,Participation rate,2001,Percentage,72.0
Austria,Foreign-born,Total,Participation rate,2002,Percentage,72.2
Austria,Foreign-born,Total,Participation rate,2003,Percentage,73.8
Austria,Foreign-born,Total,Participation rate,2004,Percentage,69.2
Austria,Foreign-born,Total,Participation rate,2005,Percentage,69.7
Austria,Foreign-born,Total,Participation rate,2006,Percentage,70.2
Austria,Foreign-born,Total,Participation rate,2007,Percentage,71.5
Austria,Foreign-born,Total,Participation rate,2008,Percentage,70.4
Austria,Foreign-born,Total,Participation rate,2009,Percentage,71.5
Austria,Foreign-born,Total,Participation rate,2010,Percentage,72.3
Austria,Foreign-born,Total,Participation rate,2011,Percentage,72.6
Austria,Foreign-born,Total,Participation rate,2012,Percentage,72.0
Austria,Foreign-born,Total,Participation rate,2013,Percentage,72.3
Austria,Foreign-born,Total,Participation rate,2014,Percentage,72.2
Austria,Foreign-born,Total,Participation rate,2015,Percentage,72.4
Austria,Foreign-born,Total,Participation rate,2016,Percentage,72.9
Austria,Foreign-born,Total,Participation rate,2017,Percentage,73.4
Austria,Foreign-born,Total,Participation rate,2018,Percentage,75.1
Austria,Foreign-born,Total,Participation rate,2019,Percentage,75.1
Austria,Foreign-born,Total,Participation rate,2020,Percentage,74.4
Austria,Foreign-born,Total,Participation rate,2021,Percentage,76.2
Belgium,Foreign-born,Men,Employment rate,2000,Percentage,62.2
Belgium,Foreign-born,Men,Employment rate,2001,Percentage,61.3
Belgium,Foreign-born,Men,Employment rate,2002,Percentage,59.6
Belgium,Foreign-born,Men,Employment rate,2003,Percentage,57.2
Belgium,Foreign-born,Men,Employment rate,2004,Percentage,60.3
Belgium,Foreign-born,Men,Employment rate,2005,Percentage,61.2
Belgium,Foreign-born,Men,Employment rate,2006,Percentage,60.8
Belgium,Foreign-born,Men,Employment rate,2007,Percentage,60.9
Belgium,Foreign-born,Men,Employment rate,2008,Percentage,64.4
Belgium,Foreign-born,Men,Employment rate,2009,Percentage,61.4
Belgium,Foreign-born,Men,Employment rate,2010,Percentage,61.4
Belgium,Foreign-born,Men,Employment rate,2011,Percentage,61.3
Belgium,Foreign-born,Men,Employment rate,2012,Percentage,60.0
Belgium,Foreign-born,Men,Employment rate,2013,Percentage,60.5
Belgium,Foreign-born,Men,Employment rate,2014,Percentage,60.3
Belgium,Foreign-born,Men,Employment rate,2015,Percentage,60.5
Belgium,Foreign-born,Men,Employment rate,2016,Percentage,62.1
Belgium,Foreign-born,Men,Employment rate,2017,Percentage,65.5
Belgium,Foreign-born,Men,Employment rate,2018,Percentage,65.7
Belgium,Foreign-born,Men,Employment rate,2019,Percentage,66.2
Belgium,Foreign-born,Men,Employment rate,2020,Percentage,65.5
Belgium,Foreign-born,Men,Employment rate,2021,Percentage,68.0
Belgium,Foreign-born,Men,Unemployment rate,2000,Percentage,14.7
Belgium,Foreign-born,Men,Unemployment rate,2001,Percentage,13.7
Belgium,Foreign-born,Men,Unemployment rate,2002,Percentage,16.3
Belgium,Foreign-born,Men,Unemployment rate,2003,Percentage,18.3
Belgium,Foreign-born,Men,Unemployment rate,2004,Percentage,14.9
Belgium,Foreign-born,Men,Unemployment rate,2005,Percentage,15.7
Belgium,Foreign-born,Men,Unemployment rate,2006,Percentage,15.8
Belgium,Foreign-born,Men,Unemployment rate,2007,Percentage,15.8
